,City,Country,Lat,Lng,Date,Max_Temp,Humidity,Cloudiness,Wind_Speed
180,saint-pierre,FR,48.95,4.24,1564120869,82.99,50,95,6.93
181,lata,IN,30.78,78.62,1564120870,47.47,90,99,1.48
182,poya,NC,-21.35,165.16,1564120870,69.25,63,54,15.43
183,januaria,,,,,,,,
184,ordynskoye,RU,54.37,81.9,1564120871,69.97,58,1,8.14
185,tripoli,GR,37.51,22.37,1564120801,82.99,53,0,4.7
186,ondorhaan,,,,,,,,
187,gizo,IL,31.8,34.94,1564120871,81,65,40,4.7
188,broken hill,AU,-31.97,141.45,1564120872,62.6,48,75,13.87
189,santa cruz,BR,-6.22,-36.02,1564120831,67.81,87,8,10.67
190,merrill,US,42.03,-121.6,1564120872,69.01,63,1,3.36
191,cayenne,GF,4.94,-52.33,1564120807,75.2,94,100,2.28
192,kindu,CD,-2.95,25.92,1564120873,75.72,34,87,1.34
193,tukrah,,,,,,,,
194,otavi,NA,-19.64,17.34,1564120874,54.31,19,0,5.75
195,coahuayana,MX,18.62,-100.35,1564120874,70.51,89,100,1.01
196,kavieng,PG,-2.57,150.8,1564120874,82.57,71,100,11.83
197,ust-karsk,RU,52.71,118.82,1564120875,80.05,34,57,4.14
198,yellowknife,CA,62.45,-114.38,1564120801,62.6,82,90,5.82
199,nichinan,JP,31.65,131.31,1564120875,87.8,74,20,5.82
200,nieves,MX,24,-103.02,1564120876,58.09,52,0,3.69
201,deputatskiy,RU,69.3,139.9,1564120876,48.55,56,75,16.02
202,bandarbeyla,SO,9.49,50.81,1564120876,79.51,53,97,28.01
203,souris,CA,46.36,-62.25,1564120877,59,100,5,3.36
204,louisbourg,,,,,,,,
205,yatou,CM,3.63,9.81,1564120877,75.2,100,75,3.36
206,taywarah,AF,33.35,64.42,1564120878,82.21,16,0,5.95
207,tailai,CN,46.39,123.41,1564120878,80.77,58,80,6.76
208,bulancak,TR,40.94,38.23,1564120878,77,61,20,9.17
209,tecolutla,MX,17.31,-98.74,1564120879,61.69,90,100,0.67
210,upernavik,GL,72.79,-56.15,1564120879,40.09,77,2,1.88
211,ngukurr,,,,,,,,
212,winnemucca,US,40.97,-117.74,1564120880,82.4,21,1,11.41
213,contamana,PE,-7.35,-75.01,1564120880,75.19,75,93,2.13
214,faya,SA,18.39,42.45,1564120881,78.8,56,0,5.82
215,yumen,CN,40.29,97.04,1564120881,87.42,17,0,14.99
216,saint-joseph,FR,43.56,6.97,1564120882,81,64,0,3.36
217,knysna,ZA,-34.04,23.05,1564120692,51.8,76,20,2.24
218,thinadhoo,MV,0.53,72.93,1564120882,83.11,66,51,6.17
219,erdemli,TR,36.61,34.31,1564120883,85.27,30,0,8.57
220,pandan,PH,11.72,122.09,1564120883,84.01,77,10,16.33
221,antofagasta,CL,-23.65,-70.4,1564120811,53.6,81,0,14.99
222,cabo san lucas,MX,22.89,-109.91,1564120708,81,74,40,8.25
223,sabzevar,IR,36.21,57.68,1564120884,88.51,11,0,11.41
224,klaksvik,FO,62.23,-6.59,1564120884,57.2,93,83,5.82
225,svetlyy,,,,,,,,
226,baykit,RU,61.68,96.39,1564120885,68.35,57,97,4.29
227,sobolevo,RU,54.43,31.9,1564120885,62.77,89,35,9.75
228,davila,PH,18.47,120.58,1564120886,86,79,20,9.17
229,shitanjing,CN,39.23,106.34,1564120886,98.01,10,13,11.01
230,norman wells,CA,65.28,-126.83,1564120887,51.8,100,90,3.36
231,kloulklubed,PW,7.04,134.26,1564120887,75.2,94,90,4.7
232,liepaja,LV,56.52,21.02,1564120887,66.2,82,0,4.7
233,zelenogradsk,RU,54.96,20.48,1564120888,68,82,0,6.71
234,hopfgarten,DE,50.99,11.22,1564120888,80.01,56,0,2.24
235,provideniya,RU,64.42,-173.23,1564120888,46.4,93,90,2.24
236,codrington,AU,-28.95,153.24,1564120889,71.6,49,98,8.05
237,haibowan,,,,,,,,
238,chicama,PE,-7.84,-79.15,1564120889,60.8,87,90,9.17
239,abay,KZ,49.63,72.87,1564120890,68,68,40,4.47
240,iqaluit,CA,63.75,-68.52,1564120890,41,100,90,4.65
241,samusu,,,,,,,,
242,forest grove,US,45.52,-123.11,1564120851,78.8,46,1,6.93
243,lac-megantic,CA,45.58,-70.88,1564120599,57.99,100,1,4.03
244,nelson bay,AU,-32.72,152.14,1564120891,68,45,100,8.05
245,lazaro cardenas,MX,28.39,-105.62,1564120892,78.01,38,7,3
246,leh,IN,34.16,77.58,1564120892,38.65,94,100,4.97
247,hamilton,CA,43.26,-79.87,1564120789,75.2,93,20,6.93
248,bosaso,SO,11.28,49.18,1564120893,86.35,63,0,13.65
249,katsuura,JP,33.93,134.5,1564120893,89.6,59,20,6.93
250,lufilufi,WS,-13.87,-171.6,1564120894,82,94,75,17.22
251,salinopolis,BR,-0.61,-47.36,1564120894,81.49,78,32,8.25
252,khatanga,RU,71.98,102.47,1564120894,53.41,46,75,7.16
253,pocatello,US,42.87,-112.44,1564120833,72,29,1,9.17
254,hambantota,LK,6.12,81.12,1564120895,91.4,63,75,17.22
255,bubaque,GW,11.28,-15.83,1564120895,77.35,88,100,6.58
256,karamea,,,,,,,,
257,trairi,BR,-3.28,-39.27,1564120896,70.32,93,19,6.42
258,muros,ES,42.77,-9.06,1564120896,63,93,40,3.36
259,puerto ayora,EC,-0.74,-90.35,1564120896,66.99,94,47,9.24
260,gillette,US,44.29,-105.5,1564120897,66,72,1,2.71
261,vila velha,BR,-3.71,-38.6,1564120897,77,83,0,6.93
262,cabedelo,BR,-6.97,-34.84,1564120821,71.6,100,75,6.93
263,college,US,64.86,-147.8,1564120858,71.6,56,75,3.36
264,sandy bay,AU,-42.9,147.33,1564120898,54,62,20,11.41
265,labuhan,ID,-2.54,115.51,1564120898,94.09,39,56,2.17
266,korem,ET,12.51,39.52,1564120899,64.57,63,100,2.71
267,bambanglipuro,ID,-7.95,110.28,1564120899,74.11,84,88,18.05
268,deoranian,IN,28.63,79.48,1564120899,84.2,79,90,4.7
269,saldanha,PT,41.42,-6.55,1564120900,54.49,89,0,4.36
270,altamira,BR,-3.2,-52.21,1564120746,75.55,71,100,0.25
271,bhadrachalam,IN,17.67,80.89,1564120900,75.91,91,100,11.3
272,teya,MX,21.05,-89.07,1564120901,75.2,94,90,3.36
273,tiarei,PF,-17.53,-149.33,1564120620,78.8,74,40,2.24
274,nanortalik,GL,60.14,-45.24,1564120901,37.75,92,100,1.77
275,senanga,ZM,-16.1,23.3,1564120902,53.95,34,2,4.81
276,pangnirtung,CA,66.15,-65.72,1564120902,43.69,85,100,2.73
277,lorengau,PG,-2.02,147.27,1564120903,81.85,72,93,9.06
278,angoche,MZ,-16.23,39.91,1564120903,73.75,67,76,7.92
279,biak,ID,-0.91,122.88,1564120903,69.42,82,100,4.41
280,batticaloa,LK,7.71,81.69,1564120904,94.09,39,100,6.91
281,luderitz,NA,-26.65,15.16,1564120904,46.4,70,0,3.36
282,avera,US,33.19,-82.53,1564120905,77,78,75,3.78
283,pingyin,CN,36.28,116.45,1564120905,106.69,19,7,7.07
284,leningradskiy,RU,69.38,178.42,1564120905,34.69,95,100,10.45
285,cody,US,44.53,-109.06,1564120906,66.99,22,1,5.82
286,idanre,NG,7.11,5.11,1564120906,71.77,98,100,3.6
287,boffa,GN,10.18,-14.04,1564120906,77.71,86,100,12.21
288,sibolga,ID,1.74,98.78,1564120907,83.29,70,89,5.03
289,sinkat,,,,,,,,
290,chiquimula,GT,14.8,-89.55,1564120907,70,1,90,3
291,matanzas,CU,23.05,-81.58,1564120908,73.4,100,20,5.82
292,dingle,PH,11,122.67,1564120908,87.07,70,52,10.85
293,mosquera,CO,4.71,-74.23,1564120834,51.8,81,75,5.82
294,makushino,RU,55.21,67.25,1564120909,70.32,52,0,7.81
295,broome,GB,52.47,1.45,1564120909,73.99,83,0,4.7
296,utiel,ES,39.57,-1.21,1564120909,73,73,0,3.36
297,menongue,AO,-14.66,17.68,1564120910,48.72,25,28,4.65
298,sinazongwe,ZM,-17.26,27.46,1564120910,57.19,40,0,2.35
299,port-gentil,GA,-0.72,8.78,1564120911,75.2,83,90,8.05
300,nouakchott,MR,18.08,-15.98,1564120911,75.2,78,75,6.93
301,akyab,,,,,,,,
302,lyubytino,RU,58.81,33.39,1564120912,71.41,73,29,7.38
303,alice springs,AU,-23.7,133.88,1564120912,77,12,40,9.17
304,viligili,,,,,,,,
305,hasaki,JP,35.73,140.83,1564120913,93,74,40,16.11
306,bajna,HU,47.66,18.6,1564120913,77,73,0,2.24
307,husavik,CA,50.56,-96.99,1564120913,69.01,54,29,7
308,paithan,IN,19.48,75.39,1564120914,77,83,90,5.82
309,pevek,RU,69.7,170.27,1564120914,32.71,94,68,3.96
310,dikson,RU,73.51,80.55,1564120914,34.69,94,98,9.95
311,tokur,RU,53.13,132.9,1564120915,44.77,98,100,3.56
312,mawlaik,MM,23.63,94.42,1564120915,73.02,96,100,0.96
313,jardim,BR,-21.48,-56.15,1564120915,51.79,81,54,8.9
314,paradwip,,,,,,,,
315,machakos,KE,-1.52,37.27,1564120830,59,77,75,3.36
316,hay river,CA,60.82,-115.79,1564120916,62.6,72,90,8.05
317,mar del plata,AR,-46.43,-67.52,1564120917,42.07,66,65,17.47
318,toliary,,,,,,,,
319,ahuimanu,US,21.44,-157.84,1564120917,80.6,88,90,9.17
320,belinskiy,RU,52.97,43.41,1564120918,71.05,76,98,13.47
321,finschhafen,PG,-6.6,147.85,1564120918,69.97,75,52,4.74
322,suntar,RU,62.16,117.65,1564120919,86.89,27,93,1.61
323,grand river south east,,,,,,,,
324,sholapur,,,,,,,,
325,baglan,GB,51.62,-3.81,1564120919,66.99,93,75,6.93
326,tela,HN,15.78,-87.45,1564120920,80.6,83,40,3.36
327,vangaindrano,MG,-23.35,47.6,1564120920,64.92,74,100,3.71
328,santiago del estero,AR,-27.8,-64.26,1564120670,41.17,80,17,6.11
329,vilyuysk,RU,63.75,121.63,1564120920,84.37,29,54,3.96
330,togur,RU,58.36,82.83,1564120921,69.79,58,12,11.41
331,anadyr,RU,64.73,177.51,1564120921,53.6,81,40,13.42
332,imbituba,BR,-28.24,-48.67,1564120828,66.2,82,75,5.82
333,koryukivka,UA,51.77,32.25,1564120747,65.65,75,77,4.38
334,darhan,MN,49.49,105.92,1564120922,71.77,65,97,9.06
335,hithadhoo,MV,-0.6,73.08,1564120923,82.57,65,75,6.51
336,baker city,US,44.77,-117.83,1564120923,66,45,1,3.36
337,longkou,CN,37.64,120.47,1564120924,86.17,70,0,9.69
338,tinoto,PH,5.89,125.07,1564120924,86,66,20,4.7
339,kaeo,NZ,-35.1,173.78,1564120925,55,100,100,10.56
340,medea,DZ,36.27,2.77,1564120925,75.2,94,40,4.7
341,quatre cocos,MU,-20.21,57.76,1564120925,75,88,75,16.11
342,uchiza,PE,-8.46,-76.46,1564120926,61.15,96,49,2.17
343,anloga,GH,5.79,0.9,1564120926,75.2,88,20,12.75
344,geraldton,CA,49.72,-86.95,1564120926,66.2,72,90,11.41
345,inuvik,CA,68.36,-133.71,1564120927,66.2,32,20,14.99
346,ancud,CL,-41.87,-73.83,1564120927,44.6,100,90,3.36
347,pocoes,BR,-14.53,-40.37,1564120927,56.11,97,2,5.3
348,kamenka,MD,48.03,28.7,1564120928,64.99,81,12,1.01
349,zhezkazgan,KZ,47.8,67.71,1564120928,82.4,26,5,13.42
350,chapais,CA,49.78,-74.86,1564120928,51.8,87,1,4.7
351,richards bay,ZA,-28.77,32.06,1564120929,69.25,65,0,18.3
352,sorland,NO,67.67,12.69,1564120929,59,100,90,5.82
353,san vicente,EC,-0.59,-80.41,1564120930,71.6,88,75,3.36
354,poum,MK,41.28,20.71,1564120930,68,68,0,0.72
355,virginia beach,US,36.85,-75.98,1564120290,73.4,100,1,6.49
356,aswan,EG,24.09,32.9,1564120930,86,19,0,8.05
357,mazatlan,MX,23.22,-106.42,1564120637,86,79,75,4.7
358,rocha,UY,-34.48,-54.34,1564120931,54.85,99,100,6.85
359,olafsvik,,,,,,,,
360,bayir,TR,37.27,28.22,1564120932,81,51,0,1.92
361,manta,RO,45.1,24.1,1564120932,71.41,64,45,3.31
362,ilulissat,GL,69.22,-51.1,1564120933,46.4,61,27,4.7
363,yverdon,,,,,,,,
364,ust-kuyga,RU,70,135.55,1564120933,48.37,48,36,15.52
365,erzin,TR,36.95,36.2,1564120934,82.4,78,40,2.24
366,kayattar,IN,8.95,77.8,1564120934,89.05,50,100,16.62
367,warqla,,,,,,,,
368,mount isa,AU,-20.73,139.49,1564120935,78.8,22,62,5.82
369,liverpool,GB,53.41,-2.98,1564120818,68,88,0,4.7
370,port hardy,CA,50.7,-127.42,1564120935,66.2,72,75,6.93
371,san luis,AR,-33.3,-66.34,1564120843,44.95,62,0,5.23
372,san ignacio,PE,-5.15,-79,1564120936,56.29,96,14,1.63
373,oranjemund,ZA,-28.55,16.43,1564120936,55.75,82,0,16.49
374,kushima,JP,31.5,131.29,1564120937,87.8,74,20,5.82
375,port maria,JM,18.37,-76.89,1564120937,82.4,74,20,4.7
376,chabahar,IR,25.29,60.65,1564120937,89.6,70,75,6.93
377,matara,BI,-3.48,29.48,1564120937,59.52,49,3,2.28
378,bloemfontein,ZA,-29.12,26.22,1564120938,28.4,74,0,2.24
379,khuzhir,RU,53.19,107.35,1564120939,77.35,32,30,8.77
380,rantepao,ID,-2.97,119.9,1564120939,72.85,68,67,3.18
381,fukue,JP,35.03,136.69,1564120939,98.01,58,20,17.22
382,san policarpo,PH,12.18,125.51,1564120940,85.81,80,31,1.21
383,high level,CA,58.52,-117.13,1564120940,59,100,90,2.24
384,kushmurun,,,,,,,,
385,treinta y tres,UY,-33.23,-54.39,1564120941,55.57,98,98,4.68
386,rio grande,BR,-32.03,-52.1,1564120941,63,97,100,5.99
387,urulga,,,,,,,,
388,buarcos,PT,40.16,-8.88,1564120942,64.4,100,90,11.41
389,lawrenceburg,US,35.24,-87.33,1564120942,72,77,40,4.97
390,bajo baudo,,,,,,,,
391,bratslav,UA,48.83,28.94,1564120943,64.99,82,40,6.87
392,fillan,NO,63.6,8.98,1564120943,64.99,88,0,9.17
393,ornskoldsvik,SE,63.29,18.72,1564120944,73.4,60,100,1.12
394,ozgon,,,,,,,,
395,isangel,VU,-19.55,169.27,1564120944,75.2,69,90,9.17
396,rosario,UY,-34.31,-57.35,1564120944,52,97,100,13.42
397,ler,NO,63.2,10.3,1564120945,66.99,82,0,6.93
398,thunder bay,CA,48.41,-89.26,1564120946,68,94,90,2.24
399,saint-philippe,CA,45.36,-73.48,1564120947,70,82,1,3.36
